City,Latitude,Longitude,Season,Hour,Month,Year,Station ID,PM2.5 (µg/m³),Severity,Threshold
Shenzhen,36.455065958024676,102.75265335129438,Spring,2,1,2020,99,237.6452908537273,severe,150.0
Shanghai,22.542786077346957,91.71431414349082,Summer,0,4,2018,50,184.8752032244357,severe,150.0
Shenzhen,24.040870506804787,114.71324105037966,Winter,19,3,2018,43,157.30886635600544,severe,150.0
Shenzhen,27.879898990786316,109.92100597736618,Spring,11,5,2016,96,151.17307467542037,severe,150.0
Beijing,36.94297372696995,127.86369880760451,Summer,1,11,2018,88,217.15810783358424,severe,150.0
Chengdu,47.359001861243875,112.76424593009905,Autumn,3,3,2019,64,242.4212938708892,severe,150.0
Chengdu,22.4263561747255,99.90743500559456,Winter,7,5,2022,73,161.94054452473245,severe,150.0
Shanghai,27.90393728347228,115.71683004773251,Summer,11,8,2019,89,150.22962238639232,severe,150.0
Beijing,40.157702202814505,120.39005216060654,Summer,22,1,2020,94,185.0073874610552,severe,150.0
Chengdu,24.782734575913384,118.01991082859315,Summer,4,9,2018,94,163.3265240883065,severe,150.0
Guangzhou,25.881204022507287,127.1860424509778,Winter,21,1,2024,30,237.2203053148448,severe,150.0
Guangzhou,28.984063082352126,126.44219998749293,Summer,0,3,2021,15,163.50660909708415,severe,150.0
Shanghai,31.81630614292483,95.7285647825741,Winter,23,5,2019,55,225.24157579490483,severe,150.0
Chengdu,23.83340594648749,91.51781738306373,Spring,13,3,2016,56,164.35574329971607,severe,150.0
Beijing,34.76273872980458,129.80478926817787,Spring,13,6,2017,28,209.81732147913047,severe,150.0
Beijing,31.79422439287096,122.04849888615003,Winter,10,7,2017,10,211.2446311840292,severe,150.0
Beijing,27.08729405574129,126.83087930532494,Spring,11,9,2020,49,202.79213080616,severe,150.0
Shanghai,38.58692587235198,128.23452419899553,Summer,16,3,2017,26,158.81951950143753,severe,150.0
Guangzhou,42.544553464187835,105.97183905158928,Summer,5,3,2024,40,190.41656180803645,severe,150.0
Shanghai,48.51476763870254,107.31595072633891,Winter,0,9,2016,66,223.35716552857764,severe,150.0
Guangzhou,45.031042032363146,116.21070959291517,Spring,16,7,2016,3,228.3474735479857,severe,150.0
Beijing,28.94430501110595,116.57019190604032,Winter,17,2,2023,18,249.8474730741296,severe,150.0
Shenzhen,25.248378347179056,125.91333616331312,Summer,19,10,2020,91,200.27792232636824,severe,150.0
Shanghai,42.36764803622084,100.41387190888693,Autumn,14,10,2022,8,246.96384163459052,severe,150.0
Beijing,23.534794542611294,116.48417225412067,Spring,22,4,2020,84,230.6455838937148,severe,150.0
Guangzhou,37.371034619546734,126.95241517277002,Spring,10,5,2018,34,191.64818787359349,severe,150.0
Chengdu,33.232106223136185,117.95204179664233,Summer,21,11,2021,12,223.04912626019353,severe,150.0
Shenzhen,31.880326742403795,127.6645211509989,Winter,10,11,2024,72,164.0072404322418,severe,150.0
Beijing,43.26371864086636,113.62745721455573,Winter,17,10,2024,98,170.74058379228765,severe,150.0
Shanghai,36.03484454705823,116.43576788210844,Spring,20,9,2019,94,242.5604545074412,severe,150.0
Beijing,42.351397484030414,125.70559212669045,Summer,3,12,2017,36,168.84668724561325,severe,150.0
Shanghai,39.46883436246283,94.83455988124804,Winter,9,10,2024,59,212.42225266391412,severe,150.0
Shanghai,32.12516826839737,95.60383691109027,Summer,22,7,2020,6,162.34242513917184,severe,150.0
Guangzhou,20.168807971358635,107.25736030842619,Summer,10,3,2016,36,248.87089076409683,severe,150.0
Shenzhen,20.925385156958143,113.379628434597,Winter,20,9,2021,94,224.51663981982827,severe,150.0
Beijing,30.886465037403784,92.45866624887877,Summer,19,7,2022,30,166.72035800330838,severe,150.0
Guangzhou,47.42306885114955,104.91522232035973,Summer,20,12,2016,52,238.28780393400464,severe,150.0
Shenzhen,29.873934077084357,102.35784258169852,Winter,7,11,2017,47,221.75682090400142,severe,150.0
Beijing,26.24761930142823,108.65175777311487,Autumn,7,5,2023,52,156.08877118432457,severe,150.0
Shenzhen,43.83097572980671,97.70642849736653,Winter,1,4,2020,1,246.81327157324998,severe,150.0
Beijing,31.794732769070627,115.74779797108954,Summer,6,4,2017,62,155.7518470073778,severe,150.0
Chengdu,29.16201950937772,114.52502893727723,Autumn,15,11,2015,15,232.28945636488712,severe,150.0
Chengdu,25.029190707930166,93.3420956890063,Winter,13,9,2020,73,190.31717932056034,severe,150.0
Shanghai,32.36842398447098,92.08679916348835,Autumn,19,5,2022,97,245.25127757881418,severe,150.0
Chengdu,22.20623285340604,95.60446640740393,Winter,0,6,2018,99,209.61249673746622,severe,150.0
Shanghai,48.16758135696064,105.29650124314044,Summer,8,8,2024,33,228.02784913624149,severe,150.0
Chengdu,44.73015018418347,129.2993198771314,Spring,8,11,2024,5,202.9458013895126,severe,150.0
Chengdu,48.79217935301828,122.61530580211031,Spring,15,7,2017,95,196.59548168673368,severe,150.0
Shenzhen,45.62938497044016,98.34460666016423,Spring,4,7,2021,67,178.86160435966522,severe,150.0
Beijing,39.532973648147184,124.51964396243923,Summer,15,10,2023,61,236.4829965233995,severe,150.0
Guangzhou,21.401307593825546,90.2567264993762,Spring,1,6,2024,33,191.439087452762,severe,150.0
Beijing,37.59266315592572,121.63844086193586,Autumn,18,8,2017,23,226.68177587534765,severe,150.0
Beijing,49.99887261652939,124.71012642970359,Winter,7,1,2022,96,201.2228989464594,severe,150.0
Chengdu,28.0505428435016,102.26624907422739,Summer,8,9,2015,77,155.0746814043786,severe,150.0
Shanghai,37.67078085879524,128.18368850388532,Summer,9,8,2018,85,204.20553644331932,severe,150.0
Shenzhen,32.10083772746647,106.79906286879276,Winter,2,10,2022,27,221.12606766490626,severe,150.0
Guangzhou,35.99407641044536,102.5735981953528,Spring,14,11,2019,73,245.5588086301127,severe,150.0
Shenzhen,35.204260984339186,104.08442465873618,Autumn,3,10,2017,2,178.04333852636415,severe,150.0
Shanghai,24.025038999437133,115.56727420330847,Spring,3,11,2020,86,204.8197474651104,severe,150.0
Chengdu,41.28944396749856,114.1837809518858,Winter,10,4,2016,16,200.18189342115073,severe,150.0
Guangzhou,29.65459940987529,124.97608118977641,Spring,19,4,2024,79,232.05997510618351,severe,150.0
Chengdu,24.629279761478514,102.3209604720104,Spring,11,3,2024,51,249.08974692982997,severe,150.0
Chengdu,37.61752353801133,107.2511811159029,Autumn,12,12,2019,28,176.6986450528571,severe,150.0
Chengdu,20.113413607182036,105.70761772231404,Autumn,9,10,2023,36,245.20481256018266,severe,150.0
Chengdu,40.02099164429741,119.28098409326091,Winter,11,4,2017,34,237.34954813740012,severe,150.0
Shenzhen,41.1713407089004,100.40599817348301,Spring,9,6,2021,26,164.39857871657807,severe,150.0
Guangzhou,37.94299059584394,90.37025730810807,Autumn,8,10,2018,34,209.71730439340294,severe,150.0
Shanghai,40.60379491320357,94.4769657666835,Autumn,8,3,2018,7,235.50375791926763,severe,150.0
Beijing,44.43764026406161,94.68153465884305,Autumn,11,8,2016,56,163.79106982413543,severe,150.0
Shanghai,47.09092874085807,103.60889669607587,Winter,11,2,2022,5,204.19645007295,severe,150.0
Chengdu,31.272941656351158,126.46677103344408,Autumn,15,7,2019,79,224.45481909395025,severe,150.0
Shenzhen,37.7718333369632,98.1599596254518,Autumn,2,3,2024,1,189.9168704804908,severe,150.0
Shenzhen,48.51800419659413,100.66479929341271,Autumn,11,7,2023,21,231.80088780122554,severe,150.0
Guangzhou,23.890600227137135,116.72527845104831,Spring,7,9,2015,41,189.8305754146615,severe,150.0
Shenzhen,45.35970549753503,100.5450037248585,Autumn,16,8,2021,18,190.0699273223749,severe,150.0
Shenzhen,34.44105751680415,95.11089773097852,Spring,17,4,2019,90,247.76434576664582,severe,150.0
Chengdu,34.911527205333144,116.23402834582026,Summer,16,7,2024,81,206.19833265281727,severe,150.0
Chengdu,40.526294368124425,95.05771982961205,Summer,21,2,2019,65,237.32199940796838,severe,150.0
Shenzhen,31.648546253447165,99.33899220035416,Summer,3,10,2022,73,214.38876188182618,severe,150.0
Shenzhen,41.113786974032976,104.3009209781938,Summer,5,4,2018,28,220.52740702100294,severe,150.0
Guangzhou,34.43157967291455,99.70613039272571,Autumn,0,9,2018,19,189.3684543618052,severe,150.0
Shenzhen,39.82257995325253,118.69123955955092,Spring,20,5,2018,94,157.90287760892843,severe,150.0
Chengdu,44.8819750352922,120.59130025798895,Summer,17,11,2016,85,211.4048285987357,severe,150.0
Chengdu,29.79487439545153,101.92315698090971,Spring,9,10,2018,99,154.5060508021827,severe,150.0
Shenzhen,26.64817032191471,101.53861200701861,Autumn,13,7,2017,66,243.6313856842068,severe,150.0
Shanghai,48.45279578460767,126.33851540063849,Summer,19,9,2022,39,181.9151249293917,severe,150.0
Shanghai,42.44980208295744,109.9780987929949,Winter,9,9,2015,24,227.27909137325676,severe,150.0
Beijing,37.25613659452905,106.03931252207916,Summer,7,2,2021,75,222.8064035208862,severe,150.0
Shanghai,45.466087094222914,108.93979818489986,Autumn,23,9,2024,41,159.95070821093555,severe,150.0
Beijing,46.45932943456373,115.11210839966328,Spring,3,10,2021,9,179.70238823385793,severe,150.0
Guangzhou,36.40379802017843,117.08832814903894,Summer,3,6,2016,74,161.44754159111847,severe,150.0
Shanghai,35.8928356908203,116.19758235197303,Spring,22,7,2023,54,198.76039693261174,severe,150.0
Shenzhen,47.84713135233718,120.48568347094198,Spring,2,9,2021,45,239.59339238168198,severe,150.0
Guangzhou,32.016494107732996,120.81676255137431,Winter,1,11,2015,68,153.7515809173505,severe,150.0
Shenzhen,25.743030381870117,93.08274511093063,Spring,9,2,2017,29,207.08838824248775,severe,150.0
Chengdu,39.64760841700932,95.1859043375273,Spring,19,4,2024,96,204.48435384453998,severe,150.0
Chengdu,45.51691521537336,108.62323446248055,Summer,21,6,2020,50,184.12187072269478,severe,150.0
Beijing,30.695639879142945,129.05837707489005,Winter,17,6,2016,79,212.02103515824228,severe,150.0
Beijing,33.01406488425601,111.59144408639918,Summer,19,1,2021,92,233.7049921566201,severe,150.0
Shenzhen,34.02758425613678,128.0978174019852,Summer,16,11,2024,55,206.32142086385755,severe,150.0
Guangzhou,43.63102565496662,129.04915112373294,Winter,7,8,2023,75,221.04931400204993,severe,150.0
Guangzhou,47.30935430742666,117.60509712515758,Spring,19,10,2016,31,215.9644131667724,severe,150.0
Shanghai,42.47982221810497,102.62246067052104,Summer,0,1,2015,93,206.17502909907338,severe,150.0
Shanghai,32.26833781472898,106.59149367837774,Winter,20,11,2018,12,204.14844657953267,severe,150.0
Chengdu,22.08593890933192,124.06396950434723,Summer,12,6,2019,83,176.0034318587778,severe,150.0
Beijing,47.577425239608225,96.95498571468963,Autumn,20,8,2016,95,152.13799383987816,severe,150.0
Shanghai,21.853090864061215,109.97903509038932,Autumn,9,12,2015,7,156.4597728813791,severe,150.0
Beijing,25.379505614807123,98.45867152596695,Summer,18,6,2018,30,228.31072940993397,severe,150.0
Beijing,22.819585286990556,93.15553205060681,Autumn,19,3,2017,11,241.23884139590524,severe,150.0
Chengdu,27.76519693436972,99.1885978112457,Autumn,0,7,2017,31,180.42577630671875,severe,150.0
Shanghai,43.497377550393125,91.81474091829891,Spring,16,6,2018,37,201.959948697641,severe,150.0
Guangzhou,22.56689361786296,98.34305361399268,Spring,15,10,2018,84,236.09158648936918,severe,150.0
Shanghai,29.04076184510708,109.98743687932436,Autumn,9,7,2022,56,150.0343810109814,severe,150.0
Chengdu,39.629658188787666,127.66131604529775,Spring,16,11,2019,5,160.4629184162079,severe,150.0
Shenzhen,41.47976206928436,110.61923368800323,Autumn,0,6,2024,3,203.14546614270716,severe,150.0
Beijing,26.65688333173884,128.82053657400087,Summer,9,9,2019,50,239.8843890246797,severe,150.0
Shanghai,27.896452370023802,115.76619422845296,Winter,12,4,2020,15,246.966160250398,severe,150.0
Guangzhou,40.10810518030324,104.2915805894952,Spring,21,7,2023,35,233.51234646516696,severe,150.0
Shenzhen,20.87258923250611,118.55061914409174,Spring,13,9,2024,86,194.19669854493193,severe,150.0
Guangzhou,25.08899507046785,112.68438529111927,Summer,11,1,2019,17,167.625436815421,severe,150.0
Guangzhou,23.741995827115247,121.28516393823196,Winter,9,3,2021,20,226.08938653138662,severe,150.0
Shenzhen,34.964990888725396,92.13044368747606,Winter,13,5,2022,9,234.20592605357905,severe,150.0
Shanghai,22.100190443355416,122.38822574043782,Winter,17,12,2015,33,209.7963841069594,severe,150.0
Guangzhou,27.65570943573775,117.37211169046034,Autumn,2,10,2019,54,223.17233438732478,severe,150.0
Shenzhen,41.244269967847075,91.23043993802192,Spring,14,3,2021,34,221.35555361684519,severe,150.0
Shenzhen,24.005571693889433,107.96863686259324,Spring,9,3,2017,40,220.70479966953087,severe,150.0
Shanghai,28.073588637604182,121.54619744255693,Winter,16,4,2023,63,200.9622301394704,severe,150.0
Shanghai,26.891692520052747,125.24599961158705,Spring,5,11,2024,92,249.10757866778587,severe,150.0
Shenzhen,31.866965236471284,93.35227990683902,Spring,16,4,2016,6,228.3288159409659,severe,150.0
Shanghai,31.484768927820383,90.56669597063964,Summer,4,12,2021,74,225.3738316362902,severe,150.0
Chengdu,42.76080001550058,90.19065358668672,Winter,18,7,2021,68,244.60752764273312,severe,150.0
Shenzhen,33.282060211301655,125.0154551850336,Summer,17,8,2023,77,207.50313177219647,severe,150.0
Shenzhen,39.20674381616661,102.78716928154157,Spring,21,2,2020,89,227.94601831717682,severe,150.0
Shanghai,31.813370458616966,101.81793294414717,Autumn,22,8,2017,15,238.81351665626852,severe,150.0
Chengdu,42.43785674864664,113.97516147865001,Summer,1,11,2019,17,197.6371086778199,severe,150.0
Chengdu,47.57090960701045,93.1574046076292,Winter,7,5,2023,44,215.38335632124102,severe,150.0
Chengdu,20.980452852958447,108.18740315739174,Winter,1,12,2020,64,163.93762617177956,severe,150.0
Guangzhou,27.851588179828568,112.57747378012124,Spring,6,9,2020,64,227.3275392789568,severe,150.0
Shanghai,27.29338986567841,115.92126070652505,Spring,23,9,2015,69,152.48187928539159,severe,150.0
Shanghai,24.571026154865237,118.19542615536764,Spring,17,2,2023,61,214.09962827717192,severe,150.0
Shanghai,35.85173065619689,92.4822071042475,Summer,21,3,2024,33,165.71024772896618,severe,150.0
Chengdu,31.32252566609986,114.80048701631418,Winter,23,3,2019,71,207.71425627702197,severe,150.0
Shanghai,44.89605084765985,98.66902900002319,Autumn,14,9,2020,32,195.6048376888153,severe,150.0
Shenzhen,36.90238006455331,107.9063156581947,Summer,3,8,2015,1,223.18441575564663,severe,150.0
Shanghai,33.94706513524493,128.41167614288835,Autumn,21,11,2023,8,171.81812036258185,severe,150.0
Beijing,46.587226155611475,103.20173914614873,Summer,8,7,2022,92,249.45284952080684,severe,150.0
Guangzhou,20.9864410320844,116.67185815198575,Spring,0,3,2017,25,162.26910663119588,severe,150.0
Shenzhen,28.433002316433573,101.68832748557303,Autumn,11,6,2016,2,209.49265482983554,severe,150.0
Shanghai,26.346438989388222,91.3079055158258,Autumn,9,4,2016,36,243.76960425069424,severe,150.0
Beijing,42.95294134740759,113.28149806095351,Summer,9,4,2019,36,226.00700531932543,severe,150.0
Shanghai,23.688881679571253,94.85997617393117,Spring,19,5,2018,77,182.89467651768067,severe,150.0
Chengdu,43.864782509094525,91.56882656510876,Spring,11,3,2022,37,172.73941118067475,severe,150.0
Beijing,35.61880097447186,113.3617703268165,Spring,16,7,2018,3,199.42074533456696,severe,150.0
Shenzhen,20.055168439881694,113.14795385278404,Summer,21,11,2016,84,233.2974997115428,severe,150.0
Shenzhen,39.39745916364582,120.9168720025013,Spring,8,1,2019,84,165.95707480374978,severe,150.0
Guangzhou,38.470642263054366,125.03373274869023,Spring,15,4,2023,67,190.31272449423162,severe,150.0
Beijing,44.084479700820346,115.51823036267763,Autumn,9,2,2016,96,197.15889079389265,severe,150.0
Shenzhen,34.571748559245826,126.99624238202625,Summer,15,7,2024,12,242.46043394228644,severe,150.0
Chengdu,49.787942432689945,129.02846379782747,Autumn,6,7,2020,8,208.10020738256287,severe,150.0
Shanghai,41.17906564008652,118.7937090650443,Winter,6,8,2023,4,177.58697736147855,severe,150.0
Guangzhou,30.315951989053424,107.52408757127675,Summer,23,11,2022,21,173.97656948383883,severe,150.0
Guangzhou,46.04974469122669,127.74488466740496,Autumn,23,11,2017,47,177.72634248789393,severe,150.0
Guangzhou,27.470770553508302,121.56421960960701,Spring,8,7,2023,60,198.77864952680255,severe,150.0
Chengdu,38.12472163740962,122.82303272061809,Spring,22,4,2023,31,242.61259679130418,severe,150.0
Shenzhen,32.26393411917682,120.92795573303496,Summer,12,10,2015,90,152.05644563887697,severe,150.0
Chengdu,29.142225976729858,112.5161486225847,Summer,14,2,2019,37,157.00706463379342,severe,150.0
Guangzhou,47.81396683351876,108.52740258397651,Spring,1,4,2015,41,218.85265232276268,severe,150.0
Beijing,28.33765603966506,118.44348320285181,Autumn,16,10,2023,93,180.09443458825723,severe,150.0
Shanghai,24.16741505622152,112.24238004352931,Winter,8,8,2023,84,191.53562126873396,severe,150.0
Beijing,25.899714558758156,123.39521853590753,Winter,15,6,2021,63,179.32834633159138,severe,150.0
Chengdu,49.05626333710403,110.96600906978922,Autumn,10,12,2023,32,190.63759867773845,severe,150.0
Shanghai,32.63082294360047,97.18123908580841,Summer,0,7,2016,19,207.70295610289838,severe,150.0
Shenzhen,34.393200574209104,97.13301270848245,Spring,8,3,2018,23,219.12354233792425,severe,150.0
Guangzhou,45.64890720606199,106.16994852540898,Autumn,9,4,2015,24,167.53456123272213,severe,150.0
Chengdu,36.89514452432866,99.00296521183581,Summer,6,11,2017,18,225.19995464591892,severe,150.0
Shanghai,44.277457369029634,95.79362445894289,Spring,23,2,2020,89,179.0271911335808,severe,150.0
Shenzhen,27.8584348855449,128.34987244269433,Winter,18,6,2018,91,239.93482354279755,severe,150.0
Shenzhen,33.64116767201107,128.834561840202,Summer,10,2,2015,39,187.53905446933098,severe,150.0
Shanghai,45.0640765957026,125.60813368827738,Autumn,7,6,2020,98,241.96817520989845,severe,150.0
Chengdu,41.677753524884096,90.81579387377643,Spring,21,11,2015,33,190.40455642838864,severe,150.0
Beijing,24.30321013127136,115.26822650308463,Summer,21,10,2016,89,238.50462875240032,severe,150.0
Beijing,40.25045904197259,113.7540411620504,Spring,10,2,2022,47,151.77789850977896,severe,150.0
Shanghai,20.733476268472153,122.42907196103346,Summer,22,4,2021,81,165.67653693390025,severe,150.0
Beijing,38.0961113875457,103.7400878075031,Autumn,16,1,2020,87,171.48008299066646,severe,150.0
Shanghai,32.65275613842902,97.40478996082118,Autumn,4,12,2020,57,153.93879749372485,severe,150.0
Guangzhou,38.6650796253201,117.8085862147245,Spring,19,9,2016,44,213.4248508673102,severe,150.0
Chengdu,39.7738736640073,93.92853814800459,Winter,11,11,2019,46,197.11118091004354,severe,150.0
Shenzhen,35.291949900041054,96.69942632334983,Summer,9,7,2017,69,150.28336592280823,severe,150.0
Beijing,39.51190078764578,112.9257010327018,Summer,10,10,2024,12,150.10721116667207,severe,150.0
Chengdu,34.572160198284166,92.06366090021712,Autumn,6,5,2019,69,171.99129146641027,severe,150.0
Guangzhou,29.98788485475213,115.31413970059502,Spring,4,2,2016,46,168.8609221403151,severe,150.0
Beijing,34.6878852493339,98.0102238518878,Summer,4,8,2015,97,224.1892724667539,severe,150.0
Beijing,44.18987803538755,99.0285260129955,Summer,23,3,2020,62,181.30622061891256,severe,150.0
Beijing,38.368632019045975,120.14856662239976,Spring,15,2,2020,55,178.04518845468655,severe,150.0
Guangzhou,38.234704875852174,101.48357721285757,Winter,6,9,2020,33,231.46780259794386,severe,150.0
Chengdu,42.10968805208128,123.96120992616306,Spring,10,7,2017,56,239.3445813357429,severe,150.0
Beijing,31.31434645505012,123.36487651879855,Winter,6,12,2021,57,229.9715457242424,severe,150.0
Shenzhen,39.76027297784366,116.57679927510523,Spring,6,4,2019,37,248.55654046420085,severe,150.0
Chengdu,20.844838317154228,99.31232296596198,Summer,2,2,2022,35,180.08068453033152,severe,150.0
Shanghai,34.39567425077563,98.42129273523125,Spring,10,2,2018,31,232.16613580494965,severe,150.0
Beijing,32.38037502826346,108.81958752422743,Spring,4,6,2022,25,168.06844512801098,severe,150.0
Beijing,20.182070245457066,100.28581470249817,Spring,7,11,2022,81,226.55215176073824,severe,150.0
Beijing,43.88728516089839,98.80551467364117,Winter,5,11,2022,78,156.54246536054188,severe,150.0
Shanghai,23.781601561370444,96.5233716283788,Summer,15,7,2022,4,187.62054316740404,severe,150.0
Beijing,23.513124875456207,98.18481295707173,Summer,5,1,2019,43,204.32603819638143,severe,150.0
Shanghai,47.84360703971753,113.2526720872805,Winter,16,2,2017,4,165.39027863391306,severe,150.0
Beijing,40.36400896676918,100.44920580007063,Autumn,7,9,2019,49,152.7053185590989,severe,150.0
Shanghai,37.70331395688646,91.31346271732133,Winter,1,2,2022,51,216.00762324136147,severe,150.0
Shenzhen,22.90025866102424,109.68987148750284,Summer,12,11,2015,73,219.55748292601476,severe,150.0
Guangzhou,40.80446754918712,124.97853025029144,Autumn,18,12,2019,6,213.68085116633515,severe,150.0
Shanghai,24.547097842373145,103.88584445458898,Autumn,4,2,2017,70,245.6776247726959,severe,150.0
Shanghai,44.41494534251902,119.72588429752065,Spring,7,3,2018,33,203.73529533171515,severe,150.0
Guangzhou,21.835151248961584,102.7290105123084,Winter,1,5,2019,4,214.54367302079515,severe,150.0
Guangzhou,38.080965956989445,103.25217457939729,Autumn,3,6,2017,5,223.71314141731568,severe,150.0
Guangzhou,44.54461182650451,104.78047809295383,Summer,22,4,2015,53,175.5794275669343,severe,150.0
Beijing,37.671076558461245,93.1043865012581,Summer,9,8,2023,34,173.7348818840398,severe,150.0
Chengdu,35.25892801743062,127.44457259830347,Autumn,6,5,2020,97,164.52830290058986,severe,150.0
Beijing,47.49817879673273,111.49077167627,Spring,6,4,2017,1,161.29336430415543,severe,150.0
Chengdu,36.63248419984125,96.02309741316955,Autumn,20,2,2018,59,219.9370709425427,severe,150.0
Beijing,37.777937321615596,94.86670830214037,Autumn,1,4,2015,84,152.82780836976346,severe,150.0
Guangzhou,39.92870591457614,119.03928580732409,Autumn,16,8,2024,62,161.7635171128575,severe,150.0
Guangzhou,43.283128061302236,104.58967285481079,Spring,5,11,2022,18,183.4325260528764,severe,150.0
Shenzhen,27.480982969272112,117.0210417133795,Autumn,21,3,2022,67,164.00854275310613,severe,150.0
Guangzhou,30.847261645166263,125.23716833116897,Spring,3,6,2020,81,154.06503765037408,severe,150.0
Shenzhen,31.573650912660504,119.19111548959444,Autumn,16,5,2022,97,224.6550256431945,severe,150.0
Shenzhen,31.746599677897734,117.87882483870487,Winter,18,11,2016,83,190.87788022435024,severe,150.0
Chengdu,33.693900902142616,110.9007394634844,Winter,11,5,2022,59,240.52664554243927,severe,150.0
Beijing,39.86909699609663,116.45393701941387,Spring,16,1,2019,34,192.95185662170923,severe,150.0
Guangzhou,25.522012243794965,112.48837997850568,Autumn,8,3,2021,35,199.44466710003883,severe,150.0
Shanghai,34.235582344899285,99.61903271758734,Summer,16,3,2019,1,245.05898977382543,severe,150.0
Guangzhou,23.773605006472103,92.2981948064217,Winter,17,9,2021,29,213.75232806603617,severe,150.0
Shenzhen,36.83576751595352,98.06161505355911,Winter,1,6,2023,58,197.88101336713925,severe,150.0
Beijing,45.09153500399242,102.02598883888167,Winter,10,3,2023,61,167.63764088582403,severe,150.0
Guangzhou,42.90957540306465,117.81815921887107,Winter,11,1,2017,36,219.63380929424957,severe,150.0
Guangzhou,44.307792407915514,91.71452790571107,Winter,4,5,2024,68,160.79286980611107,severe,150.0
Chengdu,20.93429948468136,114.42806865436684,Spring,9,5,2022,97,243.9804676858532,severe,150.0
Beijing,24.240530987307025,107.81584768537556,Summer,20,12,2018,4,237.62260265720172,severe,150.0
Shanghai,30.206374527183463,124.0760610882641,Winter,11,8,2023,2,175.5438364912271,severe,150.0
Chengdu,32.00253120111802,114.83959877576453,Spring,6,9,2019,46,181.7873758993073,severe,150.0
Chengdu,41.147047131857164,113.39738612963056,Winter,10,3,2017,22,229.919532536561,severe,150.0
Shanghai,48.9412090633149,118.49353231609011,Autumn,16,7,2024,90,171.67729925487765,severe,150.0
Chengdu,37.99736435211905,95.75521755645698,Winter,1,1,2024,79,186.4121198799265,severe,150.0
Chengdu,44.65635675091721,115.75028145677682,Autumn,8,1,2024,44,211.76471053716753,severe,150.0
Shanghai,25.08857774521146,105.55676932214782,Summer,23,6,2023,70,170.10287422366866,severe,150.0
Shenzhen,26.288752267713758,106.02329308786496,Spring,14,1,2018,12,167.9489649307966,severe,150.0
